Guil-更多水果_烹饪,Cooking,烹饪
T-/Z809ium/wBrJIJVEzfiOvkxbak=,Little dragon fruit tree,小火龙果树
T-+7vQNtC8FjaEuMN2rdcjdcSYbxk=,Eat some ice food,吃了一些冰食
T-+p141czle6i3R19gYXnW3HKD5c8=,Lemon tree,柠檬树
T-0iyxU2rAm5UXVbNvj8XhVI8ZV34=,A lemon!,一个柠檬！
T-0P4L0PLe1J4oyhMz3AGPQustRqU=,Uncooked scrambled eggs with tomatoes,未烹饪的番茄炒蛋
T-27vGHmgf74sQ9dCmhKs88z8r1ic=,Pineapple field,菠萝田
T-2hSQBq8aw7DhD1drxB8e8gTKkDQ=,Eating hot and dry food can make you feel warm,食用燥热的食物能够使你感到温热
T-2op294zrtMynJoHYxzTB+hX8iAI=,An onion bush from which I can pick onions.,一片洋葱丛，我可以从中摘取洋葱。
T-2ygX4e1qgNnsgahsFOvqq9Sjkgk=,A watermelon vine full of watermelons.,长满了西瓜的西瓜藤。
T-38SfL2F+5i4tDCCoAzI5dUCgYPc=,Tomatoes squeezed into juice that you can drink.,番茄榨成的果汁，可以喝。
T-3V1hZ3PP0cXfSjgKlbpXbU8iVEk=,A field of onions,洋葱田
T-40GeIaEwY0dT0mMDNElC57Se6fU=,A field of dragon fruit trees,火龙果树田
T-4a30ejtjgPQBHIIXKbxgz8SyFvo=,Planting tomatoes,种植西红柿
T-4kWMCgZHnB7rIoC5LxTV9y/NZy4=,Fruit growing length,水果生长度
T-4V7qL2urbtII4apd4qeOYckdsAI=,Planting lemon,种植柠檬
T-52YMvZzTMFVs1t4kzZkLL/Eculo=,Planting onions,种植洋葱
T-7/zwopxJe6MbNmlcNWxcKMNYRqs=,No one knows it's a lychee that comes from the red dust.,一骑红尘妃子笑，无人知是荔枝来。
T-77VCChLfNb2458aT3WowlMX4ixA=,Picking light lychee trees,摘光的荔枝树
T-7BNS0YDrCN3mzRiGWxW2V6K0fkQ=,Small lemon tree,小柠檬树
T-7E8HFGfrpUtTkmz521spS+gxqxY=,Dragon fruit tree,火龙果树
T-8bdg8dauvsWqZH8zE0GrpSLzrJs=,Tomatoes,番茄
T-8byt0gDHlMxIRSekkRAzpw6tyXY=,Juicing,榨汁
T-9h0xK9FU9ZkPjNcBDSPvfYhUuNY=,Plucked kiwi tree,摘光的奇异果树
T-Ac2XQZ97ysCSGHrSDrDnMTVoqpE=,Pineapple bush,菠萝丛
T-acPh0K6kDuWJxHPp46zr7HL4c+o=,Scrambled eggs with tomatoes,番茄炒蛋
T-alifphffXjM34FH5jhxlCEmvI3I=,watermelon,西瓜
T-AnIIAxhraYj+zKcuq1N+rOdku98=,It will grow fruit again.,它会再长出果实的。
T-B29YvMV8mOtxLTh7sSb1ZQDn1bk=,Growing pineapple,种植菠萝
T-BPVgcBVdtfkF4H9bwlHbGJRH9r0=,Fire Dragon Juice,火龙果汁
T-BQD6cmEvWTeToHRpYTMdU+v37JA=,Plant,植株
T-BVF6diElMT9zHTnAfVw8vC10rIg=,A pineapple!,一个菠萝！
T-CdJJYFjh4+kFPO1UfbH/7Uo/mHQ=,A kiwi fruit!,一个奇异果！
T-cfwMieeGUgiCbQ0GtnPCy2jMC2Y=,Lemon tea,柠檬茶
T-Czeb6csFvUwgyt+BHv16Mol+gxA=,Pineapple squeezed into a drinkable juice.,菠萝榨成的果汁，可以喝。
T-DT2tvQJcEI6e7Z9G+00HJBr7KaU=,Frozen in ......,冷冻中……
T-dwguX70u3OdRc+qKZCCXXxtkMqM=,"Iced lemon tea, even better!",冰冻过的柠檬茶，更爽啦！
T-EQ34WM0hGAPgKF6S+aanV/qBEps=,Dragon fruit,火龙果
